id,verse,content
1,1,Ὃ
2,1,ἦν
3,1,ἀπʼ
4,1,"ἀρχῆς,"
,1,","
5,1,ὃ
6,1,"ἀκηκόαμεν,"
,1,","
7,1,ὃ
8,1,ἑωράκαμεν
9,1,τοῖς
10,1,ὀφθαλμοῖς
11,1,ἡμῶν
,1,","
12,1,ὃ
13,1,ἐθεασάμεθα
14,1,καὶ
15,1,αἱ
16,1,χεῖρες
17,1,ἡμῶν
18,1,ἐψηλάφησαν
,1,","
19,1,περὶ
20,1,τοῦ
21,1,λόγου
22,1,τῆς
23,1,ζωῆς
,1,—
24,2,καὶ
25,2,ἡ
26,2,ζωὴ
27,2,ἐφανερώθη
,2,","
28,2,καὶ
29,2,ἑωράκαμεν
30,2,καὶ
31,2,μαρτυροῦμεν
32,2,καὶ
33,2,ἀπαγγέλλομεν
34,2,ὑμῖν
35,2,τὴν
36,2,ζωὴν
37,2,τὴν
38,2,αἰώνιον
39,2,ἥτις
40,2,ἦν
41,2,πρὸς
42,2,τὸν
43,2,πατέρα
44,2,καὶ
45,2,ἐφανερώθη
46,2,ἡμῖν
,2,—
47,3,ὃ
48,3,ἑωράκαμεν
49,3,καὶ
50,3,ἀκηκόαμεν
51,3,ἀπαγγέλλομεν
52,3,καὶ
53,3,ὑμῖν
,3,","
54,3,ἵνα
55,3,καὶ
56,3,ὑμεῖς
57,3,κοινωνίαν
58,3,ἔχητε
59,3,μεθʼ
60,3,ἡμῶν
,3,·
61,3,καὶ
62,3,ἡ
63,3,κοινωνία
64,3,δὲ
65,3,ἡ
66,3,ἡμετέρα
67,3,μετὰ
68,3,τοῦ
69,3,πατρὸς
70,3,καὶ
71,3,μετὰ
72,3,τοῦ
73,3,υἱοῦ
74,3,αὐτοῦ
75,3,Ἰησοῦ
76,3,Χριστοῦ
,3,·
77,4,καὶ
78,4,ταῦτα
79,4,γράφομεν
80,4,ἡμεῖς
81,4,ἵνα
82,4,ἡ
83,4,χαρὰ
84,4,ἡμῶν
85,4,ᾖ
86,4,πεπληρωμένη
,4,·
87,5,Καὶ
88,5,ἔστιν
89,5,αὕτη
90,5,ἡ
91,5,ἀγγελία
92,5,ἣν
93,5,ἀκηκόαμεν
94,5,ἀπʼ
95,5,αὐτοῦ
96,5,καὶ
97,5,ἀναγγέλλομεν
98,5,ὑμῖν
,5,","
99,5,ὅτι
100,5,ὁ
101,5,θεὸς
102,5,φῶς
103,5,ἐστιν
104,5,καὶ
105,5,σκοτία
106,5,ἐν
107,5,αὐτῷ
108,5,οὐκ
109,5,ἔστιν
110,5,οὐδεμία
,5,.
111,6,ἐὰν
112,6,εἴπωμεν
113,6,ὅτι
114,6,κοινωνίαν
115,6,ἔχομεν
116,6,μετʼ
117,6,αὐτοῦ
118,6,καὶ
119,6,ἐν
120,6,τῷ
121,6,σκότει
122,6,περιπατῶμεν
,6,","
123,6,ψευδόμεθα
124,6,καὶ
125,6,οὐ
126,6,ποιοῦμεν
127,6,τὴν
128,6,ἀλήθειαν
,6,·
129,7,ἐὰν
130,7,δὲ
131,7,ἐν
132,7,τῷ
133,7,φωτὶ
134,7,περιπατῶμεν
135,7,ὡς
136,7,αὐτός
137,7,ἐστιν
138,7,ἐν
139,7,τῷ
140,7,φωτί
,7,","
141,7,κοινωνίαν
142,7,ἔχομεν
143,7,μετʼ
144,7,ἀλλήλων
145,7,καὶ
146,7,τὸ
147,7,αἷμα
148,7,Ἰησοῦ
149,7,τοῦ
150,7,υἱοῦ
151,7,αὐτοῦ
152,7,καθαρίζει
153,7,ἡμᾶς
154,7,ἀπὸ
155,7,πάσης
156,7,ἁμαρτίας
,7,.
157,8,ἐὰν
158,8,εἴπωμεν
159,8,ὅτι
160,8,ἁμαρτίαν
161,8,οὐκ
162,8,ἔχομεν
,8,","
163,8,ἑαυτοὺς
164,8,πλανῶμεν
165,8,καὶ
166,8,ἡ
167,8,ἀλήθεια
168,8,οὐκ
169,8,ἔστιν
170,8,ἐν
171,8,ἡμῖν
,8,.
172,9,ἐὰν
173,9,ὁμολογῶμεν
174,9,τὰς
175,9,ἁμαρτίας
176,9,"ἡμῶν,"
177,9,πιστός
178,9,ἐστιν
179,9,καὶ
180,9,δίκαιος
181,9,ἵνα
182,9,ἀφῇ
183,9,ἡμῖν
184,9,τὰς
185,9,ἁμαρτίας
186,9,καὶ
187,9,καθαρίσῃ
188,9,ἡμᾶς
189,9,ἀπὸ
190,9,πάσης
191,9,ἀδικίας
,9,.
192,10,ἐὰν
193,10,εἴπωμεν
194,10,ὅτι
195,10,οὐχ
196,10,ἡμαρτήκαμεν
,10,","
197,10,ψεύστην
198,10,ποιοῦμεν
199,10,αὐτὸν
200,10,καὶ
201,10,ὁ
202,10,λόγος
203,10,αὐτοῦ
204,10,οὐκ
205,10,ἔστιν
206,10,ἐν
207,10,ἡμῖν
,10,.